City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,khartoum,15.5518,32.5324,18.9,31,92,0.45,SD,1673305222
165,chiredzi,-21.05,31.6667,20.87,52,11,0.44,ZW,1673305223
166,ulagan,50.6321,87.9563,-7.76,94,100,1.26,RU,1673305224
167,knysna,-34.0363,23.0471,20.29,87,20,1.56,ZA,1673305226
168,rawson,-43.3002,-65.1023,21.08,69,97,8.44,AR,1673305227
169,oktyabrskiy,54.4815,53.471,-33.55,97,39,1.15,RU,1673305228
170,spirit river,55.7833,-118.8361,-8.19,98,100,1.25,CA,1673305229
171,parabel,58.6978,81.4825,-25.92,95,100,5.01,RU,1673305230
172,katsuura,35.1333,140.3,7.01,44,51,10.91,JP,1673305220
173,dingle,10.9995,122.6711,22.87,96,100,4.26,PH,1673305232
174,takoradi,4.8845,-1.7554,26.56,84,14,2.57,GH,1673305207
175,bairiki,1.3292,172.9752,27.01,70,20,7.07,KI,1673305234
176,lavrentiya,65.5833,-171.0,-21.6,88,4,3.64,RU,1673305235
177,chake chake,-5.2459,39.7666,24.67,90,10,2.82,TZ,1673305235
178,muzhi,65.3667,64.6667,-22.66,97,100,2.03,RU,1673305237
179,salinas,36.6777,-121.6555,14.76,88,100,1.79,US,1673305238
180,rancho palos verdes,33.7445,-118.387,15.72,95,100,5.36,US,1673305238
181,ostrovnoy,68.0531,39.5131,-10.11,86,100,17.51,RU,1673305239
182,mahebourg,-20.4081,57.7,24.03,79,45,5.61,MU,1673305240
183,hirara,24.8,125.2833,21.05,67,39,7.4,JP,1673305214
184,yerkoy,39.6381,34.4672,-0.06,52,6,1.44,TR,1673305241
185,turka,49.1541,23.0297,2.11,95,100,1.79,UA,1673305242
186,gushikawa,26.3544,127.8686,18.57,87,82,4.51,JP,1673305243
187,palmer,42.1584,-72.3287,0.9,69,21,0.45,US,1673305244
188,waddan,29.1614,16.139,12.29,55,0,2.7,LY,1673305245
189,vienna,48.2085,16.3721,7.71,82,75,6.69,AT,1673305015
190,tortosa,40.8125,0.5216,12.91,60,67,6.07,ES,1673305247
191,ambunti,-4.2365,142.8448,25.63,89,99,0.52,PG,1673305248
192,bredasdorp,-34.5322,20.0403,20.15,84,3,1.65,ZA,1673305249
193,shieli,44.1667,66.75,-6.12,42,100,3.41,KZ,1673305250
194,roros,62.5747,11.3842,-0.09,86,100,2.06,NO,1673305202
195,udachnyy,66.4167,112.4,-48.64,70,99,1.86,RU,1673305252
196,teknaf,20.8624,92.3058,17.79,77,0,2.9,BD,1673305253
197,mount isa,-20.7333,139.5,26.87,69,100,2.57,AU,1673305255
198,fortuna,40.5982,-124.1573,15.55,68,0,4.63,US,1673305256
199,shingu,33.7333,135.9833,4.14,63,6,3.52,JP,1673305174
